age,rho
25,0.9995
26,0.9995
27,0.9995
28,0.9995
29,0.9995
30,0.9995
31,0.9995
32,0.9995
33,0.9995
34,0.9995
35,0.9995
36,0.9995
37,0.9995
38,0.9995
39,0.9995
40,0.9995
41,0.9995
42,0.9995
43,0.9995
44,0.9995
45,0.9995
46,0.9995
47,0.9995
48,0.9995
49,0.9995
50,0.9995
51,0.9995
52,0.9995
53,0.9995
54,0.9995
55,0.9995
56,0.9995
57,0.9995
58,0.9995
59,0.9995
60,0.81
61,0.90
62,0.83
63,0.86
64,0.91
65,0.48
66,0.69
67,0.75
68,0.76
69,0.78
70,0.71
71,0.74
72,0.80
73,0.83
74,0.81
75,0.86
76,0.89
77,0.94
78,0.92
79,0.93
80,0.95
