age,n_obs1990,n_obs1991,n_obs1992,n_obs1993,n_obs1994,n_obs1995,n_obs1996,n_obs1997,n_obs1998,n_obs1999,n_obs2000,n_obs2001,n_obs2002,n_obs2003,n_obs2004,n_obs2005,n_obs2006,n_obs2007,n_obs2008,n_obs2009,n_obs2010,n_obs2011,n_obs2012,n_obs2013,n_obs2014,n_obs2015,n_obs2016,n_obs2017,n_obs2018,n_obs2019,n_obs2020,n_obs2021,n_obs2022,survival_rate1990,survival_rate1991,survival_rate1992,survival_rate1993,survival_rate1994,survival_rate1995,survival_rate1996,survival_rate1997,survival_rate1998,survival_rate1999,survival_rate2000,survival_rate2001,survival_rate2002,survival_rate2003,survival_rate2004,survival_rate2005,survival_rate2006,survival_rate2007,survival_rate2008,survival_rate2009,survival_rate2010,survival_rate2011,survival_rate2012,survival_rate2013,survival_rate2014,survival_rate2015,survival_rate2016,survival_rate2017,survival_rate2018,survival_rate2019,survival_rate2020,survival_rate2021,survival_rate2022
25,53699,54164,49630,44758,44099,44720,46935,47684,45740,44402,44049,40162,36418,35059,33443,33309,32309,32930,27748,25844,25527,25556,24899,25249,25969,27782,28093,30642,31161,31301,31467,32194,32660,1.0118252,1.0295769,1.0392102,1.0917602,1.0723599,1.049262,1.0720997,1.0750357,1.0525361,1.0619341,1.0633159,1.041482,1.0506068,1.1010582,1.1297133,1.1416134,1.1352564,.9591254,1.0237135,1.0937549,1.1125866,1.1247848,1.153219,1.1749376,1.2027032,1.184508,1.219165,1.2108544,1.1818298,1.1990352,1.2822322,1.2382431,1.2017146
26,54075,54334,55766,51576,48865,47290,46923,50319,51262,48143,47152,46838,41828,38261,38602,37781,38026,36679,31584,28406,28267,28401,28745,28714,29666,31233,32908,34250,37103,36827,37531,40348,39864,1.0071383,1.0300364,1.0344296,1.0744532,1.0547836,1.0442799,1.0710526,1.0716032,1.0529242,1.0540681,1.054441,1.0395619,1.049847,1.0783043,1.108155,1.1176252,1.1049283,.93857521,1.0218781,1.0854748,1.0929352,1.1078836,1.1177944,1.1425089,1.1677341,1.1505139,1.170688,1.1649343,1.1396652,1.1413636,1.19765,1.1633538,1.1310204
27,54932,54461,55966,57686,55416,51542,49384,50257,53922,53975,50746,49719,48691,43913,41257,42777,42225,42016,34426,32275,30834,30894,31465,32131,32806,34642,35934,38525,39899,42285,42033,44949,46939,.99998182,1.0238335,1.0271951,1.0564781,1.0428215,1.0412867,1.058116,1.0590763,1.0352732,1.0414265,1.0431758,1.0270319,1.034072,1.0731902,1.0881305,1.0993758,1.0866312,.92317212,1.0101668,1.0649729,1.0741389,1.0690101,1.09331,1.1062837,1.1151314,1.099821,1.1239773,1.1196367,1.0882478,1.0849001,1.1318012,1.1121048,1.0759922
28,53221,54931,55759,57488,60944,57789,53670,52254,53226,55824,56211,52937,51063,50350,47127,44893,47028,45883,38788,34776,34372,33120,33026,34401,35546,36583,38100,40389,43134,43420,45875,47573,49988,.99958664,1.0168211,1.0181854,1.0411738,1.0336374,1.0302134,1.0412521,1.0484939,1.0239921,1.0272105,1.0284642,1.01362,1.0158432,1.0485402,1.0587561,1.0769385,1.0572,.90118343,.9938125,1.037037,1.0456767,1.0462561,1.0665839,1.0670329,1.0778991,1.0638275,1.0901313,1.0887618,1.0603236,1.0560341,1.0941254,1.0714271,1.0408098
29,52369,53199,55855,56773,59855,62994,59535,55884,54788,54503,57343,57811,53658,51872,52794,49896,48347,49718,41349,38548,36064,35942,34652,35225,36707,38315,38918,41534,43974,45736,45853,50193,50971,.99354577,1.0114852,1.0147166,1.0356331,1.0281012,1.0195098,1.034971,1.0376673,1.016719,1.0184393,1.0153637,.99840862,1.0098401,1.0373226,1.0452324,1.0577201,1.0429395,.88674122,.98648095,1.0254488,1.0248724,1.0240387,1.0358421,1.0408232,1.054213,1.0418634,1.0629786,1.054028,1.0323145,1.037148,1.0695702,1.0450461,1.0224245
30,52571,52031,53810,56677,58796,61537,64223,61617,57989,55704,55508,58224,57719,54186,53808,55182,52776,50423,44087,40790,39529,36961,36806,35894,36663,38697,39919,41369,43778,45395,47435,49043,52454,.99448365,1.0080336,1.0125999,1.0334351,1.0249337,1.0188992,1.0270931,1.030933,1.0100709,1.0132486,1.0097283,.98916256,.9995842,1.0199313,1.0366859,1.0451597,1.0311506,.87162602,.97523081,1.0151018,1.0286878,1.0252969,1.0306743,1.0366914,1.0434771,1.0310876,1.0468699,1.0427374,1.0245557,1.0278225,1.0549172,1.0443896,1.0190452
31,51364,52281,52449,54488,58572,60262,62700,65963,63523,58573,56442,56048,57593,57695,55266,55782,57674,54420,43950,42995,41406,40663,37896,37935,37211,38257,39900,41790,43137,44853,46658,50040,51220,.99332219,1.0083395,1.0102576,1.0280246,1.0173974,1.0125452,1.0266188,1.0300926,1.0057302,1.0135728,1.0061656,.98867041,.99579811,1.019811,1.0300547,1.0377899,1.0261643,.86416757,.97686005,1.0148622,1.0128967,1.010919,1.0196062,1.0165546,1.0346403,1.0217999,1.0348371,1.0366117,1.0125647,1.0209796,1.0470873,1.0359513,1.0145061
32,51400,51021,52717,52987,56015,59591,61018,64369,67948,63887,59368,56790,55413,57351,58838,56927,57890,59183,47028,42933,43634,41940,41107,38639,38563,38500,39091,41290,43320,43679,45794,48855,51839,.99155641,1.0064679,1.0073031,1.0263839,1.0141926,1.0145156,1.0230916,1.022837,1.0071526,1.0089064,1.0064344,.98918825,.99565083,1.0183258,1.0186784,1.0303196,1.0205216,.84990621,.97626948,1.0097361,1.0077004,1.0091083,1.0180991,1.0176506,1.032233,1.0148312,1.0322837,1.0314846,1.0107572,1.0152934,1.0422981,1.0276737,1.0084878
33,51177,50966,51351,53102,54385,56810,60456,62427,65839,68434,64456,59750,56176,55172,58402,59937,58653,59078,50300,45912,43351,43970,42322,41851,39321,39806,39071,40353,42590,43786,44347,47731,50207,.99132425,1.0066907,1.0082179,1.0237091,1.0169899,1.0140468,1.020825,1.0258862,1.0059994,1.0068825,1.005368,.98026776,.99314654,1.0119989,1.0172254,1.0352036,1.0141851,.84608483,.97473162,1.0090826,1.0073354,1.004867,1.0156183,1.016511,1.0230411,1.0098979,1.0272325,1.0236166,1.0120685,1.0137486,1.0385596,1.0248057,1.0098791
34,51743,50733,51307,51773,54361,55309,57608,61715,64043,66234,68905,64802,58571,55791,55834,59408,62047,59485,49985,49029,46329,43669,44184,42983,42542,40227,40200,40135,41306,43104,44388,46057,48915,.99596083,1.0075099,1.0070555,1.0259981,1.0150659,1.0121138,1.0193028,1.0197682,1.0037631,1.0063562,1.0003773,.98191416,.99291456,1.0062734,1.0143102,1.0285988,1.0099119,.83891737,.97009104,1.0121152,1.0034103,1.0040075,1.0158428,1.0071889,1.0143387,1.0034305,1.0199503,1.0206304,1.0078439,1.0092102,1.0272596,1.0249908,1.0099356
35,50572,51534,51114,51669,53119,55180,55979,58720,62935,64284,66655,68931,63630,58156,56141,56633,61107,62662,49903,48490,49623,46487,43844,44884,43292,43152,40365,41002,40963,41630,43501,45598,47208,.99080521,1.0010673,1.0068278,1.0266117,1.013931,1.0143712,1.0210258,1.0196867,1.004878,1.0043402,1.0009001,.98520261,.99242496,1.0108845,1.0169216,1.0268042,1.0099825,.8358016,.97112399,1.0097958,1.0022368,1.0022587,1.0130235,1.0029186,1.0206505,1.0001159,1.0144928,1.0205112,1.0060786,1.0059812,1.0259764,1.0264924,1.007414
36,49890,50107,51589,51463,53044,53859,55973,57156,59876,63242,64563,66715,67911,63148,58789,57091,58151,61717,52373,48462,48965,49734,46592,44415,45015,44186,43157,40950,41843,41212,41879,44631,46806,.99504912,1.007444,1.0111458,1.026796,1.0134228,1.0107317,1.0127382,1.0158689,1.0042421,1.0048543,1.0031906,.9853856,.99207789,1.0094382,1.0093215,1.0234888,1.0095441,.82860476,.97521621,1.0120094,1.0053712,1.0038203,1.0109675,1.0092311,1.0149062,.99760103,1.0125819,1.0209768,1.0084124,1.0084199,1.026099,1.0267079,1.0053198
